Name,Categories,Images,Brand,SKU
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/08/Super-Roll-Vanilla.png,Americana,5cdd0bf213b6
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/08/Large-Strawberry.png,Americana,80318b7b7f44
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/08/Large-vanilla-updated.png,Americana,1f5c86a7ad26
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/08/Single-Swiss-Roll-Chocolate-2.png,Americana,8b034ca02fe3
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/08/Brownie-Classic-Chocolate-Wrapper.png,Americana,6d4034a7d72c
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/08/Hazelnut-Coated-Swiss-Roll-12-pcs.png,Americana,1883fce39d9d
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/08/Fresh-Pound-Cake-Almond-Cardamom.png,Americana,b79850f30c93
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/08/IPG22-574-Americana-┘i-Super-Roll_Wrapper-Chocolate.png,Americana,3409fcd4e9a3
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/08/Brownie-Classic-Chocolate-4-pcs-1.png,Americana,2d6498b4e44c
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/08/Chocolate-Coated-Swiss-Roll-Packet.png,Americana,11df58b272f3
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/08/Soft-Cookies-Chocolate-Brookie-Packet.png,Americana,e05c7eac9bfd
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/08/Soft-Cookies-Hazelnut-Chocolate-Packet.png,Americana,c98e480619c5
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/08/Choco-Cookies-Double-Chocolate-6-packets.png,Americana,be98fc5280de
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/08/Choco-Cookies-Original-Tin.png,Americana,19c104824933
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/08/Butter-cookies-Box-6-packets.png,Americana,7c5fc72d9e23
Americana Product,Frozen > Meat,https://www.americanafoods.com/wp-content/uploads/2024/06/2.png,Americana,96938532bff3
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/08/IPG22-574-Americana-┘i-Super-Roll_Wrapper-Strawberry.png,Americana,bf231b9a4f29
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/08/IPG22-574-Americana-┘i-Super-Roll_Wrapper-Vanilla.png,Americana,ef41c91d7939
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/06/Pizza_Spicy-e1724656075519.png,Americana,8c200af39399
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/06/Greek-Salad.png,Americana,bb2335e6495c
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/06/Taboula.png,Americana,c029364021f6
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/08/Butter-Cookies-Paper-Pack-1.png,Americana,c66480cf3180
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/08/Choco-Cookies-Original-Mini.png,Americana,1e74019eadca
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/08/Choco-Cookies-Double-Chocolate-Mini-1.png,Americana,69512499c855
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/08/Choco-Cookies-Double-Chocolate-Packet-1.png,Americana,fe1f9ef375f6
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/08/Choco-Cookies-Original.png,Americana,e0f1aa202e7e
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/08/Choco-Cookies-Double-Chocolate-Chips-12-pcs-1.png,Americana,7e3825743794
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/08/Choco-Cookies-Double-Chocolate-Chips-1.png,Americana,d5ee41e38b89
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/08/MicrosoftTeams-image-26.png,Americana,e426897d220f
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/08/Crunchy-Cookies-Oat-Chocolate-Chips.png,Americana,b24098669831
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/08/Crunchy-Cookies-Oat-Cardamom-1.png,Americana,dbc1ca40398b
Americana Product,Dairy > Cheese,https://www.americanafoods.com/wp-content/uploads/2024/06/New-Project-2024-06-06T165614.581-1.png,Americana,c40759280c51
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/06/New-Project-2024-06-06T175546.592-1.png,Americana,ffbaace01aab
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/06/New-Project-2024-06-06T175353.551-1.png,Americana,ccaabf8885ac
Americana Product,Dairy > Cheese,https://www.americanafoods.com/wp-content/uploads/2024/06/New-Project-2024-06-06T165516.538-1.png,Americana,815c8880f0d3
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/06/New-Project-2024-06-06T180144.747-1.png,Americana,ee9a2dae8f39
Americana Product,Frozen > Meat,https://www.americanafoods.com/wp-content/uploads/2024/06/New-Project-2024-06-06T180519.176-1.png,Americana,2ee36d70e7fa
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/06/New-Project-2024-06-06T184138.754-1.png,Americana,8c2ed640b9b4
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/06/New-Project-2024-06-05T154216.904-1.png,Americana,713aac0bbc9e
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/06/New-Project-2024-06-05T154056.481-1.png,Americana,6878b94f8970
Americana Product,Dairy > Cheese,https://www.americanafoods.com/wp-content/uploads/2024/06/New-Project-2024-06-06T183755.230-1.png,Americana,ad38acd06337
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/06/New-Project-2024-06-06T161038.108-1.png,Americana,ae3c5ab44eb2
Americana Product,Uncategorized,https://www.americanafoods.com/wp-content/uploads/2024/06/New-Project-2024-06-05T154401.272-1.png,Americana,52247c9a3a81
